Ticker,Name,Datum,Nyhet
TSM, Taiwan Semiconductor
INTC, Intel
NVDA, NVIDIA
AMD, Advanced Micro Devices
QCOM, Qualcomm Incorporated
AVGO, Broadcom
TXN, Texas Instruments
MU, Micron Technology
AMAT, Applied Materials
NXPI, NXP Semiconductor
ASML, ASML Holding
LRCX, Lam Research Corporation
WDC, Western Digital Corporation
KLAC, KLA Corporation
MDTKF, MediaTek 
IFNNY, Infineon Technologies
MCHP, Microchip Technology
,,2022-11-30, ChatGPT lanseras. 
,,2023-02-01, ChatGPT 100 miljoner användare. 
,,2023-03-14, GPT-4 släpps. 
